"","Institution","Year","Month","use_of_force","inmate_count","uof_per_1000"
"1","CCI",2009,"Jan",12,5703,2.10415570752236
"2","COR",2009,"Jan",21,5654,3.71418464803679
"3","HDSP",2009,"Jan",30,4415,6.79501698754247
"4","KVSP",2009,"Jan",26,4789,5.42910837335561
"5","LAC",2009,"Jan",36,4906,7.33795352629433
"6","PBSP",2009,"Jan",12,3394,3.53565114908662
"7","SAC",2009,"Jan",51,2965,17.2006745362563
"8","SVSP",2009,"Jan",28,3974,7.04579768495219
"9","CCI",2009,"Feb",24,5562,4.31499460625674
"10","COR",2009,"Feb",20,5562,3.59582883854728
"11","HDSP",2009,"Feb",33,4424,7.45931283905967
"12","KVSP",2009,"Feb",22,4779,4.6034735300272
"13","LAC",2009,"Feb",35,4925,7.10659898477157
"14","PBSP",2009,"Feb",12,3377,3.55344980752147
"15","SAC",2009,"Feb",26,2963,8.77489031387108
"16","SVSP",2009,"Feb",32,3978,8.04424333836099
"17","CCI",2009,"Mar",28,5259,5.32420612283704
"18","COR",2009,"Mar",21,5505,3.81471389645777
"19","HDSP",2009,"Mar",39,4451,8.76207593799146
"20","KVSP",2009,"Mar",26,4798,5.41892455189662
"21","LAC",2009,"Mar",41,4819,8.50798920937954
"22","PBSP",2009,"Mar",20,3337,5.99340725202278
"23","SAC",2009,"Mar",40,2920,13.6986301369863
"24","SVSP",2009,"Mar",33,4037,8.17438692098093
"25","CCI",2009,"Apr",21,5235,4.01146131805158
"26","COR",2009,"Apr",18,5525,3.2579185520362
"27","HDSP",2009,"Apr",27,4459,6.05516932047544
"28","KVSP",2009,"Apr",22,4823,4.56147625958947
"29","LAC",2009,"Apr",35,4525,7.73480662983425
"30","PBSP",2009,"Apr",9,3360,2.67857142857143
"31","SAC",2009,"Apr",29,2894,10.0207325501037
"32","SVSP",2009,"Apr",34,4220,8.05687203791469
"33","CCI",2009,"May",22,5226,4.20972062763108
"34","COR",2009,"May",14,5413,2.58636615555145
"35","HDSP",2009,"May",40,4493,8.90273759180948
"36","KVSP",2009,"May",36,4816,7.47508305647841
"37","LAC",2009,"May",34,4602,7.38809213385485
"38","PBSP",2009,"May",25,3337,7.49175906502847
"39","SAC",2009,"May",41,2907,14.1038871689027
"40","SVSP",2009,"May",43,4208,10.2186311787072
"41","CCI",2009,"Jun",20,5354,3.73552484124019
"42","COR",2009,"Jun",15,5409,2.77315585135885
"43","HDSP",2009,"Jun",32,4404,7.2661217075386
"44","KVSP",2009,"Jun",19,4733,4.01436720895838
"45","LAC",2009,"Jun",28,4448,6.29496402877698
"46","PBSP",2009,"Jun",14,3258,4.29711479435236
"47","SAC",2009,"Jun",38,2858,13.296011196641
"48","SVSP",2009,"Jun",48,4212,11.3960113960114
"49","CCI",2009,"Jul",24,5559,4.31732325957906
"50","COR",2009,"Jul",20,5426,3.68595650571323
"51","HDSP",2009,"Jul",25,4457,5.60915413955575
"52","KVSP",2009,"Jul",29,4701,6.16890023399277
"53","LAC",2009,"Jul",34,4608,7.37847222222222
"54","PBSP",2009,"Jul",18,3235,5.56414219474498
"55","SAC",2009,"Jul",35,2889,12.1149186569747
"56","SVSP",2009,"Jul",43,4045,10.6304079110012
"57","CCI",2009,"Aug",18,5783,3.11257132975964
"58","COR",2009,"Aug",17,5367,3.16750512390535
"59","HDSP",2009,"Aug",30,4462,6.72344240251009
"60","KVSP",2009,"Aug",31,4697,6.59995741962955
"61","LAC",2009,"Aug",31,4686,6.61545027742211
"62","PBSP",2009,"Aug",16,3219,4.97048772910842
"63","SAC",2009,"Aug",35,2864,12.2206703910615
"64","SVSP",2009,"Aug",43,3692,11.646803900325
"65","CCI",2009,"Sep",26,5741,4.52882773036056
"66","COR",2009,"Sep",21,5264,3.98936170212766
"67","HDSP",2009,"Sep",26,4496,5.78291814946619
"68","KVSP",2009,"Sep",25,4752,5.26094276094276
"69","LAC",2009,"Sep",25,4729,5.28652992175936
"70","PBSP",2009,"Sep",14,3210,4.3613707165109
"71","SAC",2009,"Sep",27,2917,9.25608501885499
"72","SVSP",2009,"Sep",36,3585,10.0418410041841
"73","CCI",2009,"Oct",21,5962,3.52230795035223
"74","COR",2009,"Oct",21,5235,4.01146131805158
"75","HDSP",2009,"Oct",28,4472,6.26118067978533
"76","KVSP",2009,"Oct",21,4746,4.42477876106195
"77","LAC",2009,"Oct",15,4691,3.19761244937114
"78","PBSP",2009,"Oct",8,3210,2.49221183800623
"79","SAC",2009,"Oct",37,2904,12.7410468319559
"80","SVSP",2009,"Oct",37,3760,9.84042553191489
"81","CCI",2009,"Nov",18,5888,3.0570652173913
"82","COR",2009,"Nov",18,5332,3.37584396099025
"83","HDSP",2009,"Nov",32,4469,7.16043857686283
"84","KVSP",2009,"Nov",25,4734,5.28094634558513
"85","LAC",2009,"Nov",25,4588,5.44899738448126
"86","PBSP",2009,"Nov",12,3341,3.59173900029931
"87","SAC",2009,"Nov",27,3083,8.75770353551735
"88","SVSP",2009,"Nov",20,3684,5.42888165038002
"89","CCI",2009,"Dec",19,5907,3.2165227695954
"90","COR",2009,"Dec",25,5478,4.56370938298649
"91","HDSP",2009,"Dec",33,4486,7.35621934908605
"92","KVSP",2009,"Dec",27,4816,5.6063122923588
"93","LAC",2009,"Dec",40,4563,8.76616261231646
"94","PBSP",2009,"Dec",21,3384,6.20567375886525
"95","SAC",2009,"Dec",36,3051,11.7994100294985
"96","SVSP",2009,"Dec",37,3656,10.1203501094092
"97","CCI",2010,"Jan",15,5935,2.5273799494524
"98","COR",2010,"Jan",15,5485,2.73473108477666
"99","HDSP",2010,"Jan",31,4489,6.90576965916685
"100","KVSP",2010,"Jan",32,4796,6.67222685571309
"101","LAC",2010,"Jan",36,4613,7.80403208324301
"102","PBSP",2010,"Jan",21,3367,6.23700623700624
"103","SAC",2010,"Jan",30,3037,9.87816924596641
"104","SVSP",2010,"Jan",41,3786,10.8293713681986
"105","CCI",2010,"Feb",23,5943,3.8700992764597
"106","COR",2010,"Feb",16,5517,2.90012688055102
"107","HDSP",2010,"Feb",17,4555,3.73216245883644
"108","KVSP",2010,"Feb",35,4799,7.29318608043342
"109","LAC",2010,"Feb",34,4628,7.34658599827139
"110","PBSP",2010,"Feb",25,3349,7.46491489997014
"111","SAC",2010,"Feb",26,3021,8.60642171466402
"112","SVSP",2010,"Feb",34,3769,9.02096046696736
"113","CCI",2010,"Mar",30,5874,5.10725229826353
"114","COR",2010,"Mar",17,5515,3.08250226654578
"115","HDSP",2010,"Mar",39,4522,8.62450243255197
"116","KVSP",2010,"Mar",32,4816,6.64451827242525
"117","LAC",2010,"Mar",47,4546,10.3387593488781
"118","PBSP",2010,"Mar",12,3381,3.54924578527063
"119","SAC",2010,"Mar",31,2903,10.6786083362039
"120","SVSP",2010,"Mar",31,3769,8.22499336694083
"121","CCI",2010,"Apr",15,5954,2.51931474638898
"122","COR",2010,"Apr",11,5321,2.06728058635595
"123","HDSP",2010,"Apr",33,4468,7.38585496866607
"124","KVSP",2010,"Apr",28,4811,5.81999584286011
"125","LAC",2010,"Apr",40,4595,8.70511425462459
"126","PBSP",2010,"Apr",17,3332,5.10204081632653
"127","SAC",2010,"Apr",41,2923,14.0266849127609
"128","SVSP",2010,"Apr",55,3780,14.5502645502645
"129","CCI",2010,"May",25,5856,4.26912568306011
"130","COR",2010,"May",23,5239,4.3901507921359
"131","HDSP",2010,"May",40,4501,8.88691401910686
"132","KVSP",2010,"May",31,4831,6.41689091285448
"133","LAC",2010,"May",36,4530,7.94701986754967
"134","PBSP",2010,"May",28,3320,8.43373493975904
