Institution,Year,Month,Use of Force,Inmate Count,Rate
CCI,2009,Jan,12,5703,2.1041557075223567
COR,2009,Jan,21,5654,3.714184648036788
HDSP,2009,Jan,30,4415,6.795016987542469
KVSP,2009,Jan,26,4789,5.429108373355606
LAC,2009,Jan,36,4906,7.337953526294333
PBSP,2009,Jan,12,3394,3.5356511490866236
SAC,2009,Jan,51,2965,17.200674536256322
SVSP,2009,Jan,28,3974,7.0457976849521895
CCI,2009,Feb,24,5562,4.314994606256742
COR,2009,Feb,20,5562,3.595828838547285
HDSP,2009,Feb,33,4424,7.459312839059674
KVSP,2009,Feb,22,4779,4.603473530027202
LAC,2009,Feb,35,4925,7.106598984771574
PBSP,2009,Feb,12,3377,3.553449807521469
SAC,2009,Feb,26,2963,8.774890313871078
SVSP,2009,Feb,32,3978,8.044243338360985
CCI,2009,Mar,28,5259,5.324206122837041
COR,2009,Mar,21,5505,3.8147138964577656
HDSP,2009,Mar,39,4451,8.762075937991463
KVSP,2009,Mar,26,4798,5.418924551896623
LAC,2009,Mar,41,4819,8.507989209379538
PBSP,2009,Mar,20,3337,5.9934072520227755
SAC,2009,Mar,40,2920,13.698630136986301
SVSP,2009,Mar,33,4037,8.174386920980925
CCI,2009,Apr,21,5235,4.011461318051576
COR,2009,Apr,18,5525,3.257918552036199
HDSP,2009,Apr,27,4459,6.055169320475443
KVSP,2009,Apr,22,4823,4.561476259589467
LAC,2009,Apr,35,4525,7.734806629834255
PBSP,2009,Apr,9,3360,2.6785714285714284
SAC,2009,Apr,29,2894,10.020732550103663
SVSP,2009,Apr,34,4220,8.056872037914692
CCI,2009,May,22,5226,4.209720627631076
COR,2009,May,14,5413,2.5863661555514503
HDSP,2009,May,40,4493,8.902737591809482
KVSP,2009,May,36,4816,7.475083056478406
LAC,2009,May,34,4602,7.388092133854846
PBSP,2009,May,25,3337,7.491759065028469
SAC,2009,May,41,2907,14.10388716890265
SVSP,2009,May,43,4208,10.218631178707225
CCI,2009,Jun,20,5354,3.7355248412401942
COR,2009,Jun,15,5409,2.7731558513588466
HDSP,2009,Jun,32,4404,7.266121707538601
KVSP,2009,Jun,19,4733,4.014367208958377
LAC,2009,Jun,28,4448,6.294964028776978
PBSP,2009,Jun,14,3258,4.297114794352364
SAC,2009,Jun,38,2858,13.296011196641008
SVSP,2009,Jun,48,4212,11.396011396011396
CCI,2009,Jul,24,5559,4.317323259579061
COR,2009,Jul,20,5426,3.6859565057132326
HDSP,2009,Jul,25,4457,5.609154139555755
KVSP,2009,Jul,29,4701,6.168900233992767
LAC,2009,Jul,34,4608,7.378472222222222
PBSP,2009,Jul,18,3235,5.564142194744976
SAC,2009,Jul,35,2889,12.114918656974732
SVSP,2009,Jul,43,4045,10.630407911001235
CCI,2009,Aug,18,5783,3.1125713297596405
COR,2009,Aug,17,5367,3.1675051239053476
HDSP,2009,Aug,30,4462,6.723442402510085
KVSP,2009,Aug,31,4697,6.5999574196295505
LAC,2009,Aug,31,4686,6.615450277422108
PBSP,2009,Aug,16,3219,4.970487729108418
SAC,2009,Aug,35,2864,12.220670391061452
SVSP,2009,Aug,43,3692,11.646803900325027
CCI,2009,Sep,26,5741,4.528827730360565
COR,2009,Sep,21,5264,3.9893617021276593
HDSP,2009,Sep,26,4496,5.782918149466192
KVSP,2009,Sep,25,4752,5.260942760942761
LAC,2009,Sep,25,4729,5.286529921759357
PBSP,2009,Sep,14,3210,4.361370716510903
SAC,2009,Sep,27,2917,9.256085018854987
SVSP,2009,Sep,36,3585,10.0418410041841
CCI,2009,Oct,21,5962,3.5223079503522308
COR,2009,Oct,21,5235,4.011461318051576
HDSP,2009,Oct,28,4472,6.2611806797853315
KVSP,2009,Oct,21,4746,4.424778761061947
LAC,2009,Oct,15,4691,3.197612449371136
PBSP,2009,Oct,8,3210,2.492211838006231
SAC,2009,Oct,37,2904,12.741046831955924
SVSP,2009,Oct,37,3760,9.840425531914894
CCI,2009,Nov,18,5888,3.0570652173913047
COR,2009,Nov,18,5332,3.3758439609902475
HDSP,2009,Nov,32,4469,7.160438576862832
KVSP,2009,Nov,25,4734,5.280946345585129
LAC,2009,Nov,25,4588,5.448997384481255
PBSP,2009,Nov,12,3341,3.5917390002993113
SAC,2009,Nov,27,3083,8.757703535517352
SVSP,2009,Nov,20,3684,5.4288816503800215
CCI,2009,Dec,19,5907,3.2165227695953953
COR,2009,Dec,25,5478,4.563709382986492
HDSP,2009,Dec,33,4486,7.356219349086046
KVSP,2009,Dec,27,4816,5.606312292358805
LAC,2009,Dec,40,4563,8.766162612316458
PBSP,2009,Dec,21,3384,6.205673758865249
SAC,2009,Dec,36,3051,11.799410029498524
SVSP,2009,Dec,37,3656,10.12035010940919
CCI,2010,Jan,15,5935,2.527379949452401
COR,2010,Jan,15,5485,2.734731084776664
HDSP,2010,Jan,31,4489,6.905769659166852
KVSP,2010,Jan,32,4796,6.672226855713094
LAC,2010,Jan,36,4613,7.804032083243008
PBSP,2010,Jan,21,3367,6.237006237006238
SAC,2010,Jan,30,3037,9.878169245966415
SVSP,2010,Jan,41,3786,10.829371368198627
CCI,2010,Feb,23,5943,3.8700992764597
COR,2010,Feb,16,5517,2.9001268805510243
HDSP,2010,Feb,17,4555,3.7321624588364433
KVSP,2010,Feb,35,4799,7.293186080433424
LAC,2010,Feb,34,4628,7.346585998271392
PBSP,2010,Feb,25,3349,7.4649148999701405
SAC,2010,Feb,26,3021,8.606421714664018
SVSP,2010,Feb,34,3769,9.020960466967365
CCI,2010,Mar,30,5874,5.107252298263534
COR,2010,Mar,17,5515,3.082502266545784
HDSP,2010,Mar,39,4522,8.624502432551967
KVSP,2010,Mar,32,4816,6.644518272425249
LAC,2010,Mar,47,4546,10.338759348878135
PBSP,2010,Mar,12,3381,3.5492457852706303
SAC,2010,Mar,31,2903,10.678608336203927
SVSP,2010,Mar,31,3769,8.224993366940833
CCI,2010,Apr,15,5954,2.5193147463889822
COR,2010,Apr,11,5321,2.067280586355948
HDSP,2010,Apr,33,4468,7.38585496866607
KVSP,2010,Apr,28,4811,5.819995842860112
LAC,2010,Apr,40,4595,8.705114254624592
PBSP,2010,Apr,17,3332,5.1020408163265305
SAC,2010,Apr,41,2923,14.026684912760862
SVSP,2010,Apr,55,3780,14.550264550264549
CCI,2010,May,25,5856,4.26912568306011
COR,2010,May,23,5239,4.390150792135904
HDSP,2010,May,40,4501,8.886914019106865
KVSP,2010,May,31,4831,6.416890912854482
LAC,2010,May,36,4530,7.947019867549669
PBSP,2010,May,28,3320,8.433734939759036
SAC,2010,May,35,2927,11.957635804578066
