Institution,Year,Month,Use of Force,Inmate Count
CCI,2009,Jan,12,5703
COR,2009,Jan,21,5654
HDSP,2009,Jan,30,4415
KVSP,2009,Jan,26,4789
LAC,2009,Jan,36,4906
PBSP,2009,Jan,12,3394
SAC,2009,Jan,51,2965
SATF,2009,Jan,21,7018
SVSP,2009,Jan,28,3974
CCI,2009,Feb,24,5562
COR,2009,Feb,20,5562
HDSP,2009,Feb,33,4424
KVSP,2009,Feb,22,4779
LAC,2009,Feb,35,4925
PBSP,2009,Feb,12,3377
SAC,2009,Feb,26,2963
SATF,2009,Feb,24,6964
SVSP,2009,Feb,32,3978
CCI,2009,Mar,28,5259
COR,2009,Mar,21,5505
HDSP,2009,Mar,39,4451
KVSP,2009,Mar,26,4798
LAC,2009,Mar,41,4819
PBSP,2009,Mar,20,3337
SAC,2009,Mar,40,2920
SATF,2009,Mar,11,7021
SVSP,2009,Mar,33,4037
CCI,2009,Apr,21,5235
COR,2009,Apr,18,5525
HDSP,2009,Apr,27,4459
KVSP,2009,Apr,22,4823
LAC,2009,Apr,35,4525
PBSP,2009,Apr,9,3360
SAC,2009,Apr,29,2894
SATF,2009,Apr,14,7045
SVSP,2009,Apr,34,4220
CCI,2009,May,22,5226
COR,2009,May,14,5413
HDSP,2009,May,40,4493
KVSP,2009,May,36,4816
LAC,2009,May,34,4602
PBSP,2009,May,25,3337
SAC,2009,May,41,2907
SATF,2009,May,17,6961
SVSP,2009,May,43,4208
CCI,2009,Jun,20,5354
COR,2009,Jun,15,5409
HDSP,2009,Jun,32,4404
KVSP,2009,Jun,19,4733
LAC,2009,Jun,28,4448
PBSP,2009,Jun,14,3258
SAC,2009,Jun,38,2858
SATF,2009,Jun,14,7027
SVSP,2009,Jun,48,4212
CCI,2009,Jul,24,5559
COR,2009,Jul,20,5426
HDSP,2009,Jul,25,4457
KVSP,2009,Jul,29,4701
LAC,2009,Jul,34,4608
PBSP,2009,Jul,18,3235
SAC,2009,Jul,35,2889
SATF,2009,Jul,23,6911
SVSP,2009,Jul,43,4045
CCI,2009,Aug,18,5783
COR,2009,Aug,17,5367
HDSP,2009,Aug,30,4462
KVSP,2009,Aug,31,4697
LAC,2009,Aug,31,4686
PBSP,2009,Aug,16,3219
SAC,2009,Aug,35,2864
SATF,2009,Aug,12,6910
SVSP,2009,Aug,43,3692
CCI,2009,Sep,26,5741
COR,2009,Sep,21,5264
HDSP,2009,Sep,26,4496
KVSP,2009,Sep,25,4752
LAC,2009,Sep,25,4729
PBSP,2009,Sep,14,3210
SAC,2009,Sep,27,2917
SATF,2009,Sep,23,6905
SVSP,2009,Sep,36,3585
CCI,2009,Oct,21,5962
COR,2009,Oct,21,5235
HDSP,2009,Oct,28,4472
KVSP,2009,Oct,21,4746
LAC,2009,Oct,15,4691
PBSP,2009,Oct,8,3210
SAC,2009,Oct,37,2904
SATF,2009,Oct,16,6953
SVSP,2009,Oct,37,3760
CCI,2009,Nov,18,5888
COR,2009,Nov,18,5332
HDSP,2009,Nov,32,4469
KVSP,2009,Nov,25,4734
LAC,2009,Nov,25,4588
PBSP,2009,Nov,12,3341
SAC,2009,Nov,27,3083
SATF,2009,Nov,17,6913
SVSP,2009,Nov,20,3684
CCI,2009,Dec,19,5907
COR,2009,Dec,25,5478
HDSP,2009,Dec,33,4486
KVSP,2009,Dec,27,4816
LAC,2009,Dec,40,4563
PBSP,2009,Dec,21,3384
SAC,2009,Dec,36,3051
SATF,2009,Dec,5,6918
SVSP,2009,Dec,37,3656
CCI,2010,Jan,15,5935
COR,2010,Jan,15,5485
HDSP,2010,Jan,31,4489
KVSP,2010,Jan,32,4796
LAC,2010,Jan,36,4613
PBSP,2010,Jan,21,3367
SAC,2010,Jan,30,3037
SATF,2010,Jan,13,6782
SVSP,2010,Jan,41,3786
CCI,2010,Feb,23,5943
COR,2010,Feb,16,5517
HDSP,2010,Feb,17,4555
KVSP,2010,Feb,35,4799
LAC,2010,Feb,34,4628
PBSP,2010,Feb,25,3349
SAC,2010,Feb,26,3021
SATF,2010,Feb,15,6789
SVSP,2010,Feb,34,3769
CCI,2010,Mar,30,5874
COR,2010,Mar,17,5515
HDSP,2010,Mar,39,4522
KVSP,2010,Mar,32,4816
LAC,2010,Mar,47,4546
PBSP,2010,Mar,12,3381
SAC,2010,Mar,31,2903
SATF,2010,Mar,14,6793
SVSP,2010,Mar,31,3769
CCI,2010,Apr,15,5954
COR,2010,Apr,11,5321
HDSP,2010,Apr,33,4468
KVSP,2010,Apr,28,4811
LAC,2010,Apr,40,4595
PBSP,2010,Apr,17,3332
SAC,2010,Apr,41,2923
SATF,2010,Apr,21,6601
SVSP,2010,Apr,55,3780
CCI,2010,May,25,5856
COR,2010,May,23,5239
HDSP,2010,May,40,4501
KVSP,2010,May,31,4831
LAC,2010,May,36,4530
PBSP,2010,May,28,3320
SAC,2010,May,35,2927
SATF,2010,May,15,6664
SVSP,2010,May,29,3797
CCI,2010,Jun,19,5925
COR,2010,Jun,15,5191
HDSP,2010,Jun,48,4470
KVSP,2010,Jun,38,4762
