Institution,Year,Month,Use of Force,Inmate Count
CAL,2009,Jan,26,4272
CEN,2009,Jan,13,4834
CMC,2009,Jan,7,6605
CMF,2009,Jan,19,2831
MCSP,2009,Jan,19,3880
PVSP,2009,Jan,19,5219
SATF,2009,Jan,21,7018
CCI,2009,Jan,12,5703
COR,2009,Jan,21,5654
HDSP,2009,Jan,30,4415
KVSP,2009,Jan,26,4789
PBSP,2009,Jan,12,3394
SAC,2009,Jan,51,2965
SVSP,2009,Jan,28,3974
CIM,2009,Jan,24,5673
DVI,2009,Jan,15,3824
LAC,2009,Jan,36,4906
NKSP,2009,Jan,23,5440
RJD,2009,Jan,49,4753
SQ,2009,Jan,17,5266
WSP,2009,Jan,30,5957
CCI,2010,Jan,15,5935
COR,2010,Jan,15,5485
HDSP,2010,Jan,31,4489
KVSP,2010,Jan,32,4796
PBSP,2010,Jan,21,3367
SAC,2010,Jan,30,3037
SVSP,2010,Jan,41,3786
CIM,2010,Jan,19,5169
DVI,2010,Jan,30,3784
LAC,2010,Jan,36,4613
NKSP,2010,Jan,22,5402
RJD,2010,Jan,35,4653
SQ,2010,Jan,13,4803
WSP,2010,Jan,32,5994
CAL,2010,Jan,19,4289
CEN,2010,Jan,21,4653
CMC,2010,Jan,10,6721
CMF,2010,Jan,13,2817
MCSP,2010,Jan,12,3801
PVSP,2010,Jan,22,4910
SATF,2010,Jan,13,6782
CAL,2011,Jan,24,4078
CCI,2011,Jan,21,5661
CEN,2011,Jan,9,4138
COR,2011,Jan,20,4817
HDSP,2011,Jan,19,4176
KVSP,2011,Jan,33,4669
MCSP,2011,Jan,13,3557
PBSP,2011,Jan,14,3222
SAC,2011,Jan,26,2810
SATF,2011,Jan,16,6370
SVSP,2011,Jan,71,3769
CIM,2011,Jan,23,5587
DVI,2011,Jan,24,3870
LAC,2011,Jan,36,4493
NKSP,2011,Jan,17,5238
RJD,2011,Jan,35,4350
SQ,2011,Jan,23,5085
WSP,2011,Jan,29,5914
CCI,2012,Jan,20,4599
COR,2012,Jan,24,4566
HDSP,2012,Jan,34,3955
KVSP,2012,Jan,34,4336
LAC,2012,Jan,31,3583
PBSP,2012,Jan,26,3076
SAC,2012,Jan,33,2891
SATF,2012,Jan,16,5918
SVSP,2012,Jan,55,3934
CCI,2013,Jan,18,4464
COR,2013,Jan,22,4581
HDSP,2013,Jan,22,3478
KVSP,2013,Jan,46,3792
LAC,2013,Jan,39,3718
PBSP,2013,Jan,25,2909
SAC,2013,Jan,34,2473
SATF,2013,Jan,17,5682
SVSP,2013,Jan,37,3592
CCI,2014,Jan,17,4407
COR,2014,Jan,25,4371
HDSP,2014,Jan,30,3383
KVSP,2014,Jan,29,3682
LAC,2014,Jan,35,3692
PBSP,2014,Jan,10,2701
SAC,2014,Jan,47,2184
SATF,2014,Jan,22,5462
SVSP,2014,Jan,27,3388
CAL,2009,Feb,21,4263
CEN,2009,Feb,11,4690
CMC,2009,Feb,12,6569
CMF,2009,Feb,14,2783
MCSP,2009,Feb,17,3869
PVSP,2009,Feb,27,5214
SATF,2009,Feb,24,6964
CCI,2009,Feb,24,5562
COR,2009,Feb,20,5562
HDSP,2009,Feb,33,4424
KVSP,2009,Feb,22,4779
PBSP,2009,Feb,12,3377
SAC,2009,Feb,26,2963
SVSP,2009,Feb,32,3978
CIM,2009,Feb,19,5664
DVI,2009,Feb,13,3857
LAC,2009,Feb,35,4925
NKSP,2009,Feb,20,5431
RJD,2009,Feb,34,4778
SQ,2009,Feb,14,5242
WSP,2009,Feb,41,5963
CCI,2010,Feb,23,5943
COR,2010,Feb,16,5517
HDSP,2010,Feb,17,4555
KVSP,2010,Feb,35,4799
PBSP,2010,Feb,25,3349
SAC,2010,Feb,26,3021
SVSP,2010,Feb,34,3769
CIM,2010,Feb,21,5099
DVI,2010,Feb,13,3856
LAC,2010,Feb,34,4628
NKSP,2010,Feb,26,5460
RJD,2010,Feb,42,4671
SQ,2010,Feb,15,4919
WSP,2010,Feb,21,5988
CAL,2010,Feb,23,4209
CEN,2010,Feb,15,4577
CMC,2010,Feb,11,6736
CMF,2010,Feb,5,2704
MCSP,2010,Feb,19,3739
PVSP,2010,Feb,13,4883
SATF,2010,Feb,15,6789
CAL,2011,Feb,26,4091
CCI,2011,Feb,19,5558
CEN,2011,Feb,7,4219
COR,2011,Feb,14,4656
HDSP,2011,Feb,27,4166
KVSP,2011,Feb,33,4664
MCSP,2011,Feb,16,3530
PBSP,2011,Feb,7,3165
SAC,2011,Feb,31,2799
SATF,2011,Feb,17,6253
SVSP,2011,Feb,48,3764
CIM,2011,Feb,19,5761
DVI,2011,Feb,17,3796
LAC,2011,Feb,35,4374
NKSP,2011,Feb,25,5182
RJD,2011,Feb,43,4305
SQ,2011,Feb,25,4969
WSP,2011,Feb,35,5758
CCI,2012,Feb,10,4659
COR,2012,Feb,22,4430
HDSP,2012,Feb,33,3874
KVSP,2012,Feb,35,4210
LAC,2012,Feb,35,3727
PBSP,2012,Feb,18,3076
SAC,2012,Feb,23,2811
SATF,2012,Feb,18,5813
SVSP,2012,Feb,45,3741
CCI,2013,Feb,10,4555
COR,2013,Feb,22,4496
HDSP,2013,Feb,17,3469
KVSP,2013,Feb,28,3775
LAC,2013,Feb,30,3804
PBSP,2013,Feb,10,2865
SAC,2013,Feb,33,2391
SATF,2013,Feb,19,5598
SVSP,2013,Feb,39,3577
CCI,2014,Feb,15,4361
COR,2014,Feb,21,4371
HDSP,2014,Feb,24,3436
KVSP,2014,Feb,26,3749
LAC,2014,Feb,32,3669
PBSP,2014,Feb,9,2717
SAC,2014,Feb,35,2210
SATF,2014,Feb,23,5550
SVSP,2014,Feb,31,3312
CAL,2009,Mar,15,4252
CEN,2009,Mar,11,4799
CMC,2009,Mar,14,6532
CMF,2009,Mar,10,2805
MCSP,2009,Mar,10,3817
PVSP,2009,Mar,23,5166
SATF,2009,Mar,11,7021
CCI,2009,Mar,28,5259
COR,2009,Mar,21,5505
HDSP,2009,Mar,39,4451
KVSP,2009,Mar,26,4798
PBSP,2009,Mar,20,3337
SAC,2009,Mar,40,2920
SVSP,2009,Mar,33,4037
CIM,2009,Mar,24,5835
DVI,2009,Mar,21,3879
LAC,2009,Mar,41,4819
NKSP,2009,Mar,29,5337
RJD,2009,Mar,46,4836
SQ,2009,Mar,18,5280
WSP,2009,Mar,27,5951
CCI,2010,Mar,30,5874
COR,2010,Mar,17,5515
HDSP,2010,Mar,39,4522
KVSP,2010,Mar,32,4816
PBSP,2010,Mar,12,3381
SAC,2010,Mar,31,2903
