,Institution,Year,Month,Use of Force
0,ASP,2015,Jan,12
1,CAC,2015,Jan,1
2,CAL,2015,Jan,16
3,CCC,2015,Jan,15
4,CCI,2015,Jan,7
5,CCWF,2015,Jan,16
6,CEN,2015,Jan,10
7,CHCF,2015,Jan,16
8,CIM,2015,Jan,9
9,CIW,2015,Jan,14
10,CMC,2015,Jan,8
11,CMF,2015,Jan,12
12,COR,2015,Jan,18
13,CRC,2015,Jan,12
14,CTF,2015,Jan,3
15,CVSP,2015,Jan,2
16,DVI,2015,Jan,1
17,FSP,2015,Jan,7
18,HDSP,2015,Jan,20
19,ISP,2015,Jan,8
20,KVSP,2015,Jan,25
21,LAC,2015,Jan,32
22,MCSP,2015,Jan,18
23,NKSP,2015,Jan,14
24,PBSP,2015,Jan,4
25,PVSP,2015,Jan,17
26,RJD,2015,Jan,14
27,SAC,2015,Jan,39
28,SATF,2015,Jan,13
29,SCC,2015,Jan,7
30,SOL,2015,Jan,10
31,SQ,2015,Jan,8
32,SVSP,2015,Jan,40
33,VSPW,2015,Jan,0
34,WSP,2015,Jan,22
35,ASP,2016,Jan,3
36,CAC,2016,Jan,0
37,CAL,2016,Jan,22
38,CCC,2016,Jan,7
39,CCI,2016,Jan,17
40,CCWF,2016,Jan,7
41,CEN,2016,Jan,6
42,CHCF,2016,Jan,25
43,CIM,2016,Jan,8
44,CIW,2016,Jan,11
45,CMC,2016,Jan,10
46,CMF,2016,Jan,7
47,COR,2016,Jan,15
48,CRC,2016,Jan,11
49,CTF,2016,Jan,6
50,CVSP,2016,Jan,4
51,DVI,2016,Jan,9
52,FSP,2016,Jan,6
53,HDSP,2016,Jan,22
54,ISP,2016,Jan,10
55,KVSP,2016,Jan,28
56,LAC,2016,Jan,25
57,MCSP,2016,Jan,22
58,NKSP,2016,Jan,12
59,PBSP,2016,Jan,3
60,PVSP,2016,Jan,6
61,RJD,2016,Jan,15
62,SAC,2016,Jan,52
63,SATF,2016,Jan,14
64,SCC,2016,Jan,5
65,SOL,2016,Jan,10
66,SQ,2016,Jan,7
67,SVSP,2016,Jan,40
68,VSPW,2016,Jan,0
69,WSP,2016,Jan,17
70,ASP,2017,Jan,1
71,CAC,2017,Jan,2
72,CAL,2017,Jan,27
73,CCC,2017,Jan,6
74,CCI,2017,Jan,24
75,CCWF,2017,Jan,31
76,CEN,2017,Jan,10
77,CHCF,2017,Jan,25
78,CIM,2017,Jan,4
79,CIW,2017,Jan,11
80,CMC,2017,Jan,12
81,CMF,2017,Jan,15
82,COR,2017,Jan,51
83,CRC,2017,Jan,5
84,CTF,2017,Jan,3
85,CVSP,2017,Jan,3
86,DVI,2017,Jan,2
87,FSP,2017,Jan,9
88,HDSP,2017,Jan,12
89,ISP,2017,Jan,6
90,KVSP,2017,Jan,28
91,LAC,2017,Jan,39
92,MCSP,2017,Jan,25
93,NKSP,2017,Jan,20
94,PBSP,2017,Jan,10
95,PVSP,2017,Jan,7
96,RJD,2017,Jan,16
97,SAC,2017,Jan,48
98,SATF,2017,Jan,18
99,SCC,2017,Jan,9
100,SOL,2017,Jan,14
101,SQ,2017,Jan,12
102,SVSP,2017,Jan,51
103,VSPW,2017,Jan,0
104,WSP,2017,Jan,19
105,ASP,2018,Jan,7
106,CAC,2018,Jan,4
107,CAL,2018,Jan,23
108,CCC,2018,Jan,10
109,CCI,2018,Jan,33
110,CCWF,2018,Jan,20
111,CEN,2018,Jan,10
112,CHCF,2018,Jan,22
113,CIM,2018,Jan,7
114,CIW,2018,Jan,6
115,CMC,2018,Jan,14
116,CMF,2018,Jan,23
117,COR,2018,Jan,47
118,CRC,2018,Jan,5
119,CTF,2018,Jan,3
120,CVSP,2018,Jan,0
121,DVI,2018,Jan,15
122,FSP,2018,Jan,2
123,HDSP,2018,Jan,24
124,ISP,2018,Jan,4
125,KVSP,2018,Jan,49
126,LAC,2018,Jan,44
127,MCSP,2018,Jan,27
128,NKSP,2018,Jan,12
129,PBSP,2018,Jan,11
130,PVSP,2018,Jan,13
131,RJD,2018,Jan,29
132,SAC,2018,Jan,36
133,SATF,2018,Jan,16
134,SCC,2018,Jan,5
135,SOL,2018,Jan,10
136,SQ,2018,Jan,12
137,SVSP,2018,Jan,33
138,VSPW,2018,Jan,0
139,WSP,2018,Jan,22
140,ASP,2019,Jan,4
141,CAC,2019,Jan,4
142,CAL,2019,Jan,13
143,CCC,2019,Jan,11
144,CCI,2019,Jan,44
145,CCWF,2019,Jan,28
146,CEN,2019,Jan,8
147,CHCF,2019,Jan,26
148,CIM,2019,Jan,9
149,CIW,2019,Jan,6
150,CMC,2019,Jan,12
151,CMF,2019,Jan,11
152,COR,2019,Jan,57
153,CRC,2019,Jan,13
154,CTF,2019,Jan,5
155,CVSP,2019,Jan,2
156,DVI,2019,Jan,3
157,FSP,2019,Jan,10
158,HDSP,2019,Jan,28
159,ISP,2019,Jan,4
160,KVSP,2019,Jan,53
161,LAC,2019,Jan,51
162,MCSP,2019,Jan,21
163,NKSP,2019,Jan,19
164,PBSP,2019,Jan,14
165,PVSP,2019,Jan,21
166,RJD,2019,Jan,18
167,SAC,2019,Jan,55
168,SATF,2019,Jan,10
169,SCC,2019,Jan,9
170,SOL,2019,Jan,17
171,SQ,2019,Jan,17
172,SVSP,2019,Jan,51
173,VSPW,2019,Jan,4
174,WSP,2019,Jan,22
175,ASP,2015,Feb,0
176,CAC,2015,Feb,3
177,CAL,2015,Feb,24
178,CCC,2015,Feb,12
179,CCI,2015,Feb,12
180,CCWF,2015,Feb,12
181,CEN,2015,Feb,7
182,CHCF,2015,Feb,12
183,CIM,2015,Feb,5
184,CIW,2015,Feb,7
185,CMC,2015,Feb,7
186,CMF,2015,Feb,7
187,COR,2015,Feb,17
188,CRC,2015,Feb,3
189,CTF,2015,Feb,2
190,CVSP,2015,Feb,2
191,DVI,2015,Feb,12
192,FSP,2015,Feb,8
193,HDSP,2015,Feb,13
194,ISP,2015,Feb,4
195,KVSP,2015,Feb,32
196,LAC,2015,Feb,42
197,MCSP,2015,Feb,10
198,NKSP,2015,Feb,14
199,PBSP,2015,Feb,7
200,PVSP,2015,Feb,7
201,RJD,2015,Feb,19
202,SAC,2015,Feb,32
203,SATF,2015,Feb,15
204,SCC,2015,Feb,15
205,SOL,2015,Feb,12
206,SQ,2015,Feb,7
207,SVSP,2015,Feb,24
208,VSPW,2015,Feb,5
209,WSP,2015,Feb,17
210,ASP,2016,Feb,3
211,CAC,2016,Feb,1
212,CAL,2016,Feb,7
213,CCC,2016,Feb,7
214,CCI,2016,Feb,9
215,CCWF,2016,Feb,17
216,CEN,2016,Feb,7
217,CHCF,2016,Feb,16
218,CIM,2016,Feb,8
219,CIW,2016,Feb,26
220,CMC,2016,Feb,7
221,CMF,2016,Feb,9
222,COR,2016,Feb,30
223,CRC,2016,Feb,6
224,CTF,2016,Feb,2
225,CVSP,2016,Feb,0
226,DVI,2016,Feb,5
227,FSP,2016,Feb,4
228,HDSP,2016,Feb,22
229,ISP,2016,Feb,7
230,KVSP,2016,Feb,25
231,LAC,2016,Feb,28
232,MCSP,2016,Feb,23
233,NKSP,2016,Feb,15
234,PBSP,2016,Feb,21
235,PVSP,2016,Feb,6
236,RJD,2016,Feb,21
237,SAC,2016,Feb,48
238,SATF,2016,Feb,11
239,SCC,2016,Feb,10
240,SOL,2016,Feb,9
241,SQ,2016,Feb,5
242,SVSP,2016,Feb,48
243,VSPW,2016,Feb,5
244,WSP,2016,Feb,26
245,ASP,2017,Feb,5
246,CAC,2017,Feb,0
247,CAL,2017,Feb,19
248,CCC,2017,Feb,9
249,CCI,2017,Feb,26
250,CCWF,2017,Feb,32
251,CEN,2017,Feb,13
252,CHCF,2017,Feb,23
253,CIM,2017,Feb,7
254,CIW,2017,Feb,16
255,CMC,2017,Feb,13
256,CMF,2017,Feb,15
257,COR,2017,Feb,35
258,CRC,2017,Feb,2
259,CTF,2017,Feb,3
260,CVSP,2017,Feb,0
261,DVI,2017,Feb,9
262,FSP,2017,Feb,7
263,HDSP,2017,Feb,22
264,ISP,2017,Feb,2
265,KVSP,2017,Feb,36
266,LAC,2017,Feb,44
267,MCSP,2017,Feb,23
268,NKSP,2017,Feb,15
269,PBSP,2017,Feb,8
270,PVSP,2017,Feb,7
271,RJD,2017,Feb,22
272,SAC,2017,Feb,34
273,SATF,2017,Feb,20
274,SCC,2017,Feb,6
275,SOL,2017,Feb,13
276,SQ,2017,Feb,13
277,SVSP,2017,Feb,33
278,VSPW,2017,Feb,1
279,WSP,2017,Feb,23
280,ASP,2018,Feb,4
281,CAC,2018,Feb,4
282,CAL,2018,Feb,17
283,CCC,2018,Feb,6
284,CCI,2018,Feb,33
285,CCWF,2018,Feb,30
286,CEN,2018,Feb,14
287,CHCF,2018,Feb,22
288,CIM,2018,Feb,4
289,CIW,2018,Feb,17
290,CMC,2018,Feb,11
291,CMF,2018,Feb,18
292,COR,2018,Feb,46
293,CRC,2018,Feb,11
294,CTF,2018,Feb,6
295,CVSP,2018,Feb,4
296,DVI,2018,Feb,12
297,FSP,2018,Feb,9
298,HDSP,2018,Feb,22
299,ISP,2018,Feb,8
300,KVSP,2018,Feb,42
301,LAC,2018,Feb,45
302,MCSP,2018,Feb,17
303,NKSP,2018,Feb,12
304,PBSP,2018,Feb,15
305,PVSP,2018,Feb,8
306,RJD,2018,Feb,27
307,SAC,2018,Feb,40
308,SATF,2018,Feb,16
309,SCC,2018,Feb,4
310,SOL,2018,Feb,10
311,SQ,2018,Feb,17
312,SVSP,2018,Feb,47
313,VSPW,2018,Feb,2
314,WSP,2018,Feb,7
315,ASP,2019,Feb,2
316,CAC,2019,Feb,4
317,CAL,2019,Feb,20
318,CCC,2019,Feb,7
319,CCI,2019,Feb,33
320,CCWF,2019,Feb,18
321,CEN,2019,Feb,11
322,CHCF,2019,Feb,20
323,CIM,2019,Feb,5
324,CIW,2019,Feb,5
