Institution,Year,Month,Use of Force
ASP,2015,Jan,12
CAC,2015,Jan,1
CAL,2015,Jan,16
CCC,2015,Jan,15
CCI,2015,Jan,7
CCWF,2015,Jan,16
CEN,2015,Jan,10
CHCF,2015,Jan,16
CIM,2015,Jan,9
CIW,2015,Jan,14
CMC,2015,Jan,8
CMF,2015,Jan,12
COR,2015,Jan,18
CRC,2015,Jan,12
CTF,2015,Jan,3
CVSP,2015,Jan,2
DVI,2015,Jan,1
FSP,2015,Jan,7
HDSP,2015,Jan,20
ISP,2015,Jan,8
KVSP,2015,Jan,25
LAC,2015,Jan,32
MCSP,2015,Jan,18
NKSP,2015,Jan,14
PBSP,2015,Jan,4
PVSP,2015,Jan,17
RJD,2015,Jan,14
SAC,2015,Jan,39
SATF,2015,Jan,13
SCC,2015,Jan,7
SOL,2015,Jan,10
SQ,2015,Jan,8
SVSP,2015,Jan,40
VSPW,2015,Jan,0
WSP,2015,Jan,22
ASP,2016,Jan,3
CAC,2016,Jan,0
CAL,2016,Jan,22
CCC,2016,Jan,7
CCI,2016,Jan,17
CCWF,2016,Jan,7
CEN,2016,Jan,6
CHCF,2016,Jan,25
CIM,2016,Jan,8
CIW,2016,Jan,11
CMC,2016,Jan,10
CMF,2016,Jan,7
COR,2016,Jan,15
CRC,2016,Jan,11
CTF,2016,Jan,6
CVSP,2016,Jan,4
DVI,2016,Jan,9
FSP,2016,Jan,6
HDSP,2016,Jan,22
ISP,2016,Jan,10
KVSP,2016,Jan,28
LAC,2016,Jan,25
MCSP,2016,Jan,22
NKSP,2016,Jan,12
PBSP,2016,Jan,3
PVSP,2016,Jan,6
RJD,2016,Jan,15
SAC,2016,Jan,52
SATF,2016,Jan,14
SCC,2016,Jan,5
SOL,2016,Jan,10
SQ,2016,Jan,7
SVSP,2016,Jan,40
VSPW,2016,Jan,0
WSP,2016,Jan,17
ASP,2017,Jan,1
CAC,2017,Jan,2
CAL,2017,Jan,27
CCC,2017,Jan,6
CCI,2017,Jan,24
CCWF,2017,Jan,31
CEN,2017,Jan,10
CHCF,2017,Jan,25
CIM,2017,Jan,4
CIW,2017,Jan,11
CMC,2017,Jan,12
CMF,2017,Jan,15
COR,2017,Jan,51
CRC,2017,Jan,5
CTF,2017,Jan,3
CVSP,2017,Jan,3
DVI,2017,Jan,2
FSP,2017,Jan,9
HDSP,2017,Jan,12
ISP,2017,Jan,6
KVSP,2017,Jan,28
LAC,2017,Jan,39
MCSP,2017,Jan,25
NKSP,2017,Jan,20
PBSP,2017,Jan,10
PVSP,2017,Jan,7
RJD,2017,Jan,16
SAC,2017,Jan,48
SATF,2017,Jan,18
SCC,2017,Jan,9
SOL,2017,Jan,14
SQ,2017,Jan,12
SVSP,2017,Jan,51
VSPW,2017,Jan,0
WSP,2017,Jan,19
ASP,2018,Jan,7
CAC,2018,Jan,4
CAL,2018,Jan,23
CCC,2018,Jan,10
CCI,2018,Jan,33
CCWF,2018,Jan,20
CEN,2018,Jan,10
CHCF,2018,Jan,22
CIM,2018,Jan,7
CIW,2018,Jan,6
CMC,2018,Jan,14
CMF,2018,Jan,23
COR,2018,Jan,47
CRC,2018,Jan,5
CTF,2018,Jan,3
CVSP,2018,Jan,0
DVI,2018,Jan,15
FSP,2018,Jan,2
HDSP,2018,Jan,24
ISP,2018,Jan,4
KVSP,2018,Jan,49
LAC,2018,Jan,44
MCSP,2018,Jan,27
NKSP,2018,Jan,12
PBSP,2018,Jan,11
PVSP,2018,Jan,13
RJD,2018,Jan,29
SAC,2018,Jan,36
SATF,2018,Jan,16
SCC,2018,Jan,5
SOL,2018,Jan,10
SQ,2018,Jan,12
SVSP,2018,Jan,33
VSPW,2018,Jan,0
WSP,2018,Jan,22
ASP,2019,Jan,4
CAC,2019,Jan,4
CAL,2019,Jan,13
CCC,2019,Jan,11
CCI,2019,Jan,44
CCWF,2019,Jan,28
CEN,2019,Jan,8
CHCF,2019,Jan,26
CIM,2019,Jan,9
CIW,2019,Jan,6
CMC,2019,Jan,12
CMF,2019,Jan,11
COR,2019,Jan,57
CRC,2019,Jan,13
CTF,2019,Jan,5
CVSP,2019,Jan,2
DVI,2019,Jan,3
FSP,2019,Jan,10
HDSP,2019,Jan,28
ISP,2019,Jan,4
