Institution,Year,Month,Inmate Count
CAC,2022,Jun,1963
CCI,2022,Jun,3051
COR,2022,Jun,3466
HDSP,2022,Jun,1968
KVSP,2022,Jun,3045
LAC,2022,Jun,2378
PBSP,2022,Jun,1696
SAC,2022,Jun,2108
SATF,2022,Jun,4610
SVSP,2022,Jun,2974
CAC,2022,Jul,1934
CCI,2022,Jul,2998
COR,2022,Jul,3476
HDSP,2022,Jul,1859
KVSP,2022,Jul,2965
LAC,2022,Jul,2371
PBSP,2022,Jul,1684
SAC,2022,Jul,2077
SATF,2022,Jul,4673
SVSP,2022,Jul,3003
CAC,2022,Aug,1954
CCI,2022,Aug,2960
COR,2022,Aug,3433
HDSP,2022,Aug,1819
KVSP,2022,Aug,2878
LAC,2022,Aug,2400
PBSP,2022,Aug,1692
SAC,2022,Aug,2083
SATF,2022,Aug,4747
SVSP,2022,Aug,3036
CAC,2022,Sep,2003
CCI,2022,Sep,2957
COR,2022,Sep,3416
HDSP,2022,Sep,1770
KVSP,2022,Sep,2680
LAC,2022,Sep,2413
PBSP,2022,Sep,1757
SAC,2022,Sep,1996
SATF,2022,Sep,4800
SVSP,2022,Sep,3026
CAC,2022,Oct,1936
CCI,2022,Oct,2890
COR,2022,Oct,3323
HDSP,2022,Oct,2382
KVSP,2022,Oct,2611
LAC,2022,Oct,2445
PBSP,2022,Oct,1783
SAC,2022,Oct,1971
SATF,2022,Oct,4782
SVSP,2022,Oct,3028
CAC,2022,Nov,1930
CCI,2022,Nov,2806
COR,2022,Nov,3267
HDSP,2022,Nov,2331
KVSP,2022,Nov,2533
LAC,2022,Nov,2479
PBSP,2022,Nov,1817
SAC,2022,Nov,1935
SATF,2022,Nov,4801
SVSP,2022,Nov,3047
CAC,2022,Dec,1837
CCI,2022,Dec,2725
COR,2022,Dec,3387
HDSP,2022,Dec,2407
KVSP,2022,Dec,2485
LAC,2022,Dec,2523
PBSP,2022,Dec,1770
SAC,2022,Dec,1782
SATF,2022,Dec,4765
SVSP,2022,Dec,3046
CAC,2023,Jan,1820
CCI,2023,Jan,2651
COR,2023,Jan,3497
HDSP,2023,Jan,2123
KVSP,2023,Jan,2496
LAC,2023,Jan,2554
PBSP,2023,Jan,1740
SAC,2023,Jan,1640
SATF,2023,Jan,4750
SVSP,2023,Jan,3012
CAC,2023,Feb,1771
CCI,2023,Feb,2572
COR,2023,Feb,3484
HDSP,2023,Feb,2020
KVSP,2023,Feb,2481
LAC,2023,Feb,2570
PBSP,2023,Feb,1713
SAC,2023,Feb,1586
SATF,2023,Feb,4734
SVSP,2023,Feb,3053
CAC,2023,Mar,1655
CCI,2023,Mar,2383
COR,2023,Mar,3463
HDSP,2023,Mar,2352
KVSP,2023,Mar,2591
LAC,2023,Mar,2637
PBSP,2023,Mar,1676
SAC,2023,Mar,1509
SATF,2023,Mar,4778
SVSP,2023,Mar,2985
CAC,2023,Apr,1387
CCI,2023,Apr,2188
COR,2023,Apr,3403
HDSP,2023,Apr,2573
KVSP,2023,Apr,2685
LAC,2023,Apr,2636
PBSP,2023,Apr,1632
SAC,2023,Apr,1512
SATF,2023,Apr,4695
SVSP,2023,Apr,2990
CAC,2023,May,1025
CCI,2023,May,1937
COR,2023,May,3337
HDSP,2023,May,2562
KVSP,2023,May,2763
LAC,2023,May,2626
PBSP,2023,May,1631
SAC,2023,May,1556
SATF,2023,May,4612
SVSP,2023,May,2994
CAC,2023,Jun,642
CCI,2023,Jun,1661
COR,2023,Jun,3389
HDSP,2023,Jun,2501
KVSP,2023,Jun,2793
LAC,2023,Jun,2660
PBSP,2023,Jun,1627
SAC,2023,Jun,1759
SATF,2023,Jun,4598
SVSP,2023,Jun,2986
