Institution,Month,Use of Force,Year
ASP,Oct,5,2022
CAC,Oct,12,2022
CAL,Oct,4,2022
CCC,Oct,1,2022
CCI,Oct,41,2022
CCWF,Oct,21,2022
CEN,Oct,10,2022
CHCF,Oct,21,2022
CIM,Oct,5,2022
CIW,Oct,3,2022
CMC,Oct,10,2022
CMF,Oct,15,2022
COR,Oct,45,2022
CRC,Oct,3,2022
CTF,Oct,3,2022
CVSP,Oct,1,2022
FOL,Oct,10,2022
HDSP,Oct,9,2022
ISP,Oct,3,2022
KVSP,Oct,22,2022
LAC,Oct,52,2022
MCSP,Oct,12,2022
NKSP,Oct,24,2022
PBSP,Oct,18,2022
PVSP,Oct,10,2022
RJD,Oct,39,2022
SAC,Oct,40,2022
SATF,Oct,21,2022
SCC,Oct,9,2022
SOL,Oct,3,2022
SQ,Oct,5,2022
SVSP,Oct,53,2022
VSP,Oct,1,2022
WSP,Oct,12,2022
ASP,Nov,8,2022
CAC,Nov,4,2022
CAL,Nov,3,2022
CCC,Nov,,2022
CCI,Nov,38,2022
CCWF,Nov,26,2022
CEN,Nov,7,2022
CHCF,Nov,21,2022
CIM,Nov,2,2022
CIW,Nov,8,2022
CMC,Nov,10,2022
CMF,Nov,22,2022
COR,Nov,44,2022
CRC,Nov,4,2022
CTF,Nov,0,2022
CVSP,Nov,1,2022
FOL,Nov,7,2022
HDSP,Nov,9,2022
ISP,Nov,12,2022
KVSP,Nov,18,2022
LAC,Nov,65,2022
MCSP,Nov,22,2022
NKSP,Nov,32,2022
PBSP,Nov,18,2022
PVSP,Nov,10,2022
RJD,Nov,28,2022
SAC,Nov,54,2022
SATF,Nov,20,2022
SCC,Nov,5,2022
SOL,Nov,6,2022
SQ,Nov,6,2022
SVSP,Nov,70,2022
VSP,Nov,5,2022
WSP,Nov,26,2022
ASP,Dec,15,2022
CAC,Dec,4,2022
CAL,Dec,10,2022
CCC,Dec,,2022
CCI,Dec,29,2022
CCWF,Dec,25,2022
CEN,Dec,7,2022
CHCF,Dec,11,2022
CIM,Dec,8,2022
CIW,Dec,5,2022
CMC,Dec,19,2022
CMF,Dec,24,2022
COR,Dec,62,2022
CRC,Dec,11,2022
CTF,Dec,1,2022
CVSP,Dec,0,2022
FOL,Dec,6,2022
HDSP,Dec,8,2022
ISP,Dec,11,2022
KVSP,Dec,26,2022
LAC,Dec,51,2022
MCSP,Dec,18,2022
NKSP,Dec,36,2022
PBSP,Dec,21,2022
PVSP,Dec,5,2022
RJD,Dec,41,2022
SAC,Dec,44,2022
SATF,Dec,33,2022
SCC,Dec,21,2022
SOL,Dec,5,2022
SQ,Dec,2,2022
SVSP,Dec,42,2022
VSP,Dec,8,2022
WSP,Dec,24,2022
ASP,Jan,10,2023
CAC,Jan,7,2023
CAL,Jan,5,2023
CCC,Jan,,2023
CCI,Jan,34,2023
CCWF,Jan,26,2023
CEN,Jan,8,2023
CHCF,Jan,23,2023
CIM,Jan,3,2023
CIW,Jan,7,2023
CMC,Jan,17,2023
CMF,Jan,26,2023
COR,Jan,73,2023
CRC,Jan,12,2023
CTF,Jan,0,2023
CVSP,Jan,0,2023
FOL,Jan,8,2023
HDSP,Jan,10,2023
ISP,Jan,8,2023
KVSP,Jan,17,2023
LAC,Jan,59,2023
MCSP,Jan,18,2023
NKSP,Jan,40,2023
PBSP,Jan,20,2023
PVSP,Jan,11,2023
RJD,Jan,32,2023
SAC,Jan,50,2023
SATF,Jan,24,2023
SCC,Jan,18,2023
SOL,Jan,17,2023
SQ,Jan,7,2023
SVSP,Jan,48,2023
VSP,Jan,8,2023
WSP,Jan,19,2023
ASP,Feb,9,2023
CAC,Feb,4,2023
CAL,Feb,6,2023
CCC,Feb,0,2023
CCI,Feb,44,2023
CCWF,Feb,19,2023
CEN,Feb,12,2023
CHCF,Feb,12,2023
CIM,Feb,2,2023
CIW,Feb,10,2023
CMC,Feb,14,2023
CMF,Feb,18,2023
COR,Feb,51,2023
CRC,Feb,10,2023
CTF,Feb,2,2023
CVSP,Feb,0,2023
FOL,Feb,7,2023
HDSP,Feb,9,2023
ISP,Feb,4,2023
KVSP,Feb,20,2023
LAC,Feb,74,2023
MCSP,Feb,20,2023
NKSP,Feb,34,2023
PBSP,Feb,12,2023
PVSP,Feb,11,2023
RJD,Feb,25,2023
SAC,Feb,44,2023
SATF,Feb,15,2023
SCC,Feb,18,2023
SOL,Feb,7,2023
SQ,Feb,7,2023
SVSP,Feb,41,2023
VSP,Feb,9,2023
WSP,Feb,21,2023
ASP,Mar,21,2023
CAC,Mar,7,2023
CAL,Mar,13,2023
CCC,Mar,,2023
CCI,Mar,19,2023
CCWF,Mar,17,2023
CEN,Mar,7,2023
CHCF,Mar,27,2023
CIM,Mar,1,2023
CIW,Mar,4,2023
CMC,Mar,14,2023
CMF,Mar,14,2023
COR,Mar,59,2023
CRC,Mar,6,2023
CTF,Mar,4,2023
CVSP,Mar,0,2023
FOL,Mar,15,2023
HDSP,Mar,26,2023
ISP,Mar,12,2023
KVSP,Mar,32,2023
LAC,Mar,65,2023
MCSP,Mar,19,2023
NKSP,Mar,53,2023
PBSP,Mar,17,2023
PVSP,Mar,18,2023
RJD,Mar,45,2023
SAC,Mar,61,2023
SATF,Mar,38,2023
SCC,Mar,14,2023
SOL,Mar,15,2023
SQ,Mar,9,2023
SVSP,Mar,64,2023
VSP,Mar,6,2023
WSP,Mar,17,2023
ASP,Apr,21,2023
CAC,Apr,6,2023
CAL,Apr,17,2023
CCC,Apr,,2023
CCI,Apr,23,2023
CCWF,Apr,23,2023
CEN,Apr,13,2023
CHCF,Apr,23,2023
CIM,Apr,1,2023
CIW,Apr,7,2023
CMC,Apr,10,2023
CMF,Apr,15,2023
COR,Apr,67,2023
CRC,Apr,6,2023
CTF,Apr,3,2023
CVSP,Apr,3,2023
FOL,Apr,16,2023
HDSP,Apr,19,2023
ISP,Apr,18,2023
KVSP,Apr,30,2023
LAC,Apr,68,2023
MCSP,Apr,22,2023
NKSP,Apr,33,2023
PBSP,Apr,17,2023
PVSP,Apr,12,2023
RJD,Apr,35,2023
SAC,Apr,62,2023
SATF,Apr,28,2023
SCC,Apr,16,2023
SOL,Apr,8,2023
SQ,Apr,5,2023
SVSP,Apr,57,2023
VSP,Apr,10,2023
WSP,Apr,29,2023
ASP,May,21,2023
CAC,May,2,2023
CAL,May,12,2023
CCC,May,,2023
CCI,May,19,2023
CCWF,May,23,2023
CEN,May,10,2023
CHCF,May,32,2023
CIM,May,1,2023
CIW,May,2,2023
CMC,May,14,2023
CMF,May,22,2023
COR,May,43,2023
CRC,May,11,2023
CTF,May,3,2023
CVSP,May,3,2023
FOL,May,6,2023
HDSP,May,12,2023
ISP,May,24,2023
KVSP,May,32,2023
LAC,May,87,2023
MCSP,May,18,2023
NKSP,May,48,2023
PBSP,May,16,2023
PVSP,May,12,2023
RJD,May,36,2023
SAC,May,66,2023
SATF,May,36,2023
SCC,May,17,2023
SOL,May,7,2023
SQ,May,7,2023
SVSP,May,61,2023
VSP,May,13,2023
WSP,May,25,2023
ASP,Jun,21,2023
CAC,Jun,0,2023
CAL,Jun,20,2023
CCC,Jun,,2023
CCI,Jun,24,2023
CCWF,Jun,27,2023
CEN,Jun,8,2023
CHCF,Jun,27,2023
CIM,Jun,2,2023
CIW,Jun,9,2023
CMC,Jun,10,2023
CMF,Jun,20,2023
COR,Jun,34,2023
CRC,Jun,16,2023
CTF,Jun,4,2023
CVSP,Jun,1,2023
FOL,Jun,9,2023
HDSP,Jun,16,2023
ISP,Jun,14,2023
KVSP,Jun,35,2023
LAC,Jun,91,2023
MCSP,Jun,19,2023
NKSP,Jun,66,2023
PBSP,Jun,9,2023
PVSP,Jun,14,2023
RJD,Jun,39,2023
SAC,Jun,47,2023
SATF,Jun,29,2023
SCC,Jun,13,2023
SOL,Jun,17,2023
SQ,Jun,13,2023
SVSP,Jun,64,2023
VSP,Jun,9,2023
WSP,Jun,30,2023
ASP,Jul,14,2023
CAC,Jul,0,2023
CAL,Jul,15,2023
CCC,Jul,,2023
CCI,Jul,23,2023
CCWF,Jul,32,2023
CEN,Jul,10,2023
CHCF,Jul,31,2023
CIM,Jul,6,2023
CIW,Jul,6,2023
CMC,Jul,10,2023
CMF,Jul,18,2023
COR,Jul,51,2023
CRC,Jul,8,2023
CTF,Jul,1,2023
CVSP,Jul,2,2023
FOL,Jul,8,2023
HDSP,Jul,20,2023
ISP,Jul,9,2023
KVSP,Jul,34,2023
LAC,Jul,78,2023
MCSP,Jul,20,2023
NKSP,Jul,40,2023
PBSP,Jul,16,2023
PVSP,Jul,26,2023
RJD,Jul,55,2023
SAC,Jul,62,2023
SATF,Jul,49,2023
SCC,Jul,12,2023
SOL,Jul,17,2023
SQ,Jul,9,2023
SVSP,Jul,76,2023
VSP,Jul,16,2023
WSP,Jul,28,2023
ASP,Aug,30,2023
CAC,Aug,0,2023
CAL,Aug,13,2023
CCC,Aug,,2023
CCI,Aug,37,2023
CCWF,Aug,32,2023
CEN,Aug,10,2023
CHCF,Aug,34,2023
CIM,Aug,1,2023
CIW,Aug,11,2023
CMC,Aug,16,2023
CMF,Aug,24,2023
COR,Aug,57,2023
CRC,Aug,9,2023
CTF,Aug,5,2023
CVSP,Aug,0,2023
FOL,Aug,9,2023
HDSP,Aug,26,2023
ISP,Aug,22,2023
KVSP,Aug,51,2023
LAC,Aug,78,2023
MCSP,Aug,30,2023
NKSP,Aug,40,2023
PBSP,Aug,12,2023
PVSP,Aug,12,2023
RJD,Aug,76,2023
SAC,Aug,55,2023
SATF,Aug,50,2023
SCC,Aug,16,2023
SOL,Aug,15,2023
SQ,Aug,6,2023
SVSP,Aug,56,2023
VSP,Aug,7,2023
WSP,Aug,22,2023
ASP,Sep,10,2023
CAC,Sep,,2023
CAL,Sep,2,2023
CCC,Sep,,2023
CCI,Sep,27,2023
CCWF,Sep,22,2023
CEN,Sep,8,2023
CHCF,Sep,25,2023
CIM,Sep,3,2023
CIW,Sep,11,2023
CMC,Sep,18,2023
CMF,Sep,16,2023
COR,Sep,56,2023
CRC,Sep,9,2023
CTF,Sep,5,2023
CVSP,Sep,0,2023
FOL,Sep,4,2023
HDSP,Sep,13,2023
ISP,Sep,13,2023
KVSP,Sep,35,2023
LAC,Sep,59,2023
MCSP,Sep,24,2023
NKSP,Sep,46,2023
PBSP,Sep,17,2023
PVSP,Sep,11,2023
RJD,Sep,62,2023
SAC,Sep,41,2023
SATF,Sep,44,2023
SCC,Sep,16,2023
SOL,Sep,13,2023
SQ,Sep,6,2023
SVSP,Sep,65,2023
VSP,Sep,9,2023
WSP,Sep,28,2023
ASP,Oct,21,2023
CAC,Oct,,2023
CAL,Oct,22,2023
CCC,Oct,,2023
CCI,Oct,17,2023
CCWF,Oct,26,2023
CEN,Oct,14,2023
CHCF,Oct,31,2023
CIM,Oct,3,2023
CIW,Oct,4,2023
CMC,Oct,8,2023
CMF,Oct,20,2023
COR,Oct,46,2023
CRC,Oct,11,2023
CTF,Oct,10,2023
CVSP,Oct,0,2023
FOL,Oct,6,2023
HDSP,Oct,21,2023
ISP,Oct,22,2023
KVSP,Oct,43,2023
LAC,Oct,81,2023
MCSP,Oct,19,2023
NKSP,Oct,51,2023
PBSP,Oct,15,2023
PVSP,Oct,19,2023
RJD,Oct,43,2023
SAC,Oct,65,2023
SATF,Oct,38,2023
SCC,Oct,14,2023
SOL,Oct,15,2023
SQ,Oct,7,2023
SVSP,Oct,61,2023
VSP,Oct,5,2023
WSP,Oct,12,2023
